Peso ao nascer;Vaginal;Cesario;Total
Menos de 500g;34325;14306;48631
500 a 999g;165942;76303;242245
1000 a 1499 g;203989;189446;393435
1500 a 2499 g;2319941;1801283;4121224
2500 a 2999 g;8422578;5526287;13948865
3000 a 3999 g;21719999;16754153;38474152
4000g e mais;1394255;1552979;2947234
Total;34261029;25914757;60175786
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
 ;;;
