Peso ao nascer;Vaginal;Cesario;Total
Menos de 500g;45933;24399;70332
500 a 999g;214703;138010;352713
1000 a 1499 g;262255;328229;590484
1500 a 2499 g;3003151;2945246;5948397
2500 a 2999 g;10517696;8578171;19095867
3000 a 3999 g;27615988;25797607;53413595
4000g e mais;1966670;2485220;4451890
Total;43626396;40296882;83923278
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
 ;;;
